Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Zhai Y., Nasseri N., Pöttgen J., Gezhelbash E., Heesen C., Stellmann J.-P.",2020,"Zhai et al, 2020",Smartphone Accelerometry: A Smart and Reliable Measurement of Real-Life Physical Activity in Multiple Sclerosis and Healthy Individuals,10.3389/FNEUR.2020.00688,67 (62.7),42.9 (10.9),"RR: n=34,
P: n=33","EDSS: 3.0 (median), range: 1.0-6.0",8.5 (8.1),not reported,not reported,"healthy 
n=70 (67% female)
age: 41.5 (12.8)","Samsung Galaxy S4
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: habitual phone position (others)",real-life setting,7 days,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Creagh A.P., Simillion C., Scotland A., Lipsmeier F., Bernasconi C., Belachew S., van Beek J., Baker M., Gossens C., Lindemann M., De Vos M.",2020,"Creagh et al, 2020",Smartphone-based remote assessment of upper extremity function for multiple sclerosis using the Draw a Shape Test,10.1088/1361-6579/AB8771,71 (69.0),40 (8),"RR: n=64,
PP: n=3,
SP: n=4","EDSS:
normal 9PHT: 2.1 (1.26),
abnormal 9HPT: 3.3 (1.4)",not reported,not reported,not reported,"healthy 
n=22 (32% female)
age: not reported","Samsung Galaxy S7
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",real-life setting,24 weeks,yes,yes,yes,yes,applies partially,yes,yes,no,yes,smartphone/touchscreen,NA
"Huang S.-C., Dalla Costa G., Pisa M., Gregoris L., Leccabue G., Congiu M., Comi G., Leocani L.",2020,"Huang et al, 2020",The Danger of Walking with Socks: Evidence from Kinematic Analysis in People with Progressive Multiple Sclerosis,10.3390/S20216160,40 (50.0),50.9 (9.8),P: n=40,EDSS: 5.5 (1.1),not reported,not reported,not reported,"healthy 
n=15 (60% female)
age: 52.7 (4.4)","G-Walk
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back, waist",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Shalmoni N., Kalron A.",2020,"Shamlmoni et al, 2020",The immediate effect of stroboscopic visual training on information-processing time in people with multiple sclerosis: an exploratory study,10.1007/S00702-020-02190-2,26 (61.5),47.9 (9.1),"RR: n=17, 
P: n=9","EDSS: 4.5 (median), range: 3.0-5.5",9.3 (7.6),not reported,not reported,none,"APDM
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, foot",lab setting (controlled),not reported,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Karle V., Hartung V., Ivanovska K., Mäurer M., Flachenecker P., Pfeifer K., Tallner A.",2020,"Karle et al, 2020",The two-minute walk test in persons with multiple sclerosis: Correlations of cadence with free-living walking do not support ecological validity,10.3390/IJERPH17239044,20 (75.0),44.2 (12.2),"RR: n=14, 
PP: n=2,
SP: n=4","EDSS: 3.1 (1.4), range: 1-6",9.1 (7.7),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,7 days,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Craig J.J., Bruetsch A.P., Lynch S.G., Huisinga J.M.",2020,"Craig et al, 2020",Trunk and foot acceleration variability during walking relates to fall history and clinical disability in persons with multiple sclerosis,10.1016/J.CLINBIOMECH.2020.105100,15 (53.3),48 (9.6),not reported,EDSS: 4.4 (1.1),not reported,not reported,not reported,"MS patients (non-fallers)
n=25 (80% female)
age: 44 (9.9)
Type: not reported
Severity: EDSS: 3.3 (1.9)
Disease duration [yrs]: not reported","Opal system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: lower back, foot",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,accelerometer,3
"Pilloni G., Choi C., Shaw M.T., Coghe G., Krupp L., Moffat M., Cocco E., Pau M., Charvet L.",2020,"Pilloni et al, 2020","Walking in multiple sclerosis improves with tDCS: a randomized, double-blind, sham-controlled study",10.1002/ACN3.51224,9 (66.7),52.1 (12.8),"RR: n=2,
SP: n=7",EDSS: 5.3 (1.1),not reported,not reported,not reported,"MS patients (sham tDCS)
n=6 (83% female)
age: 53.5 (9.8)
Type: RR: n=3, SP: n=3
Severity: EDSS: 4.5 (1.7)
Disease duration [yrs]: not reported","G-Walk IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),4 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Angelini L., Hodgkinson W., Smith C., Dodd J.M., Sharrack B., Mazzà C., Paling D.",2020,"Angelini et al, 2020",Wearable sensors can reliably quantify gait alterations associated with disability in people with progressive multiple sclerosis in a clinical setting,10.1007/S00415-020-09928-8,57 (66.7),49.8 (8.4),SP: n=57,"EDSS: 5.5 (median), range: 3.0-6.5",not reported,not reported,not reported,"healthy 
n=24 (67% female)
age: 49.8 (8.4)","Opal IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 3
Primary position: lower back, lower leg",lab setting (controlled),not reported,yes,applies partially,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Meyer B.M., Tulipani L.J., Gurchiek R.D., Allen D.A., Adamowicz L., Larie D., Solomon A.J., Cheney N., McGinnis R.",2020,"Meyer et al, 2020",Wearables and Deep Learning Classify Fall Risk from Gait in Multiple Sclerosis,10.1109/JBHI.2020.3025049,37 (70.3),51 (12),not reported,EDSS: 2.99 (1.47),not reported,not reported,not reported,none,"Biostamp MC10
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: sternum, upper leg",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,applies partially,no,applies partially,accelerometer,3
"Angelini L., Buckley E., Bonci T., Radford A., Sharrack B., Paling D., Nair K.P.S., Mazza C.",2021,"Angelini et al, 2021",A Multifactorial Model of Multiple Sclerosis Gait and its Changes Across Different Disability Levels,10.1109/TBME.2021.3061998,114 (62.3),"MS severity:
mild: 43.6 (10.5), 
noderate: 43.6 (10.5),
severe: 43.6 (10.5)","RR: n=41,
PP: n=3,
SP: n=70","EDSS:
mild: <=3.5,
moderate: range: 4.0-5.5,
severe: >=6.0",not reported,not reported,not reported,"healthy 
n=24 (67% female)
age: 49.9 (8.3)","Opal IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 3
Primary position: lower back, lower leg",lab setting (controlled),not reported,yes,applies partially,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Abbadessa G., Lavorgna L., Miele G., Mignone A., Signoriello E., Lus G., Clerico M., Sparaco M., Bonavita S.",2021,"Abbadessa et al, 2021",Assessment of multiple sclerosis disability progression using a wearable biosensor: A pilot study,10.3390/JCM10061160,25 (48.0),40.08 (8.87),RR: n=25,EDSS: 4.45 (1.39),9.3 (6.6),not reported,not reported,none,"Samsung Gear S2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,4 weeks,yes,yes,yes,yes,applies partially,applies partially,applies partially,no,yes,accelerometer,3
"Krysko K.M., Akhbardeh A., Arjona J., Nourbakhsh B., Waubant E., Antoine Gourraud P., Graves J.S.",2021,"Krysko et al, 2021",Biosensor vital sign detects multiple sclerosis progression,10.1002/ACN3.51187,68 (72.1),48.3 (12.1),"RR: n=53,
PP: n=9,
SP: n=6","EDSS: 2.5 (median), range: 0.0-7.0","10.5 (median), range: 0.1-44.0","none: n=19,
IFN- 12 Glatirameracetat: n=4,
Dimethylfumarat: n=12,
Fingolimod: n=5,
Natalizumab: n=10,
Rituximab: n=6",not reported,none,"MYO-band
Type of sensor: accelerometer, gyroscope, sEMG
Number of axes: 3
Number of wearables: 1
Primary position: lower arm, lower leg",lab setting (controlled),not reported,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,"accelerometer, gyroscope, others",3
"Shah V.V., McNames J., Harker G., Curtze C., Carlson-Kuhta P., Spain R.I., El-Gohary M., Mancini M., Horak F.B.",2021,"Shah et al, 2021",Does gait bout definition influence the ability to discriminate gait quality between people with and without multiple sclerosis during daily life?,10.1016/J.GAITPOST.2020.11.024,15 (not reported),49 (10.25),RR: n=15,inclusion criteria: EDSS<=6.0,not reported,not reported,not reported,"healthy 
n=16 (female ratio not reported)
age: 44.7 (10.7)","APDM IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Primary position: foot",real-life setting,7 days,yes,yes,applies partially,applies partially,yes,applies partially,applies partially,no,yes,"accelerometer, gyroscope",3
"Abonie U.S., Hettinga F.J.",2021,"Abonie et al, 2021",Effect of a tailored activity pacing intervention on fatigue and physical activity behaviours in adults with multiple sclerosis,10.3390/IJERPH18010017,11 (27.3),57.9 (8.0),"RR: n=6,
PP: n=1,
SP: n=4",PDDS: 2.0 [2.0],12 [24],not reported,not reported,"MS patients (no tailored information group)
n=10 (30% female)
age: 60.9 (9.5)
Type: RR: n=4, PP: n=1, SP: n=5
Severity: PDDS: 3.5 [2.0]
Disease duration [yrs]: 9.5 [19.5]","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,2 weeks,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Teufl, S; Preston, J; van Wijck, F; Stansfield, B",2021,"Teufl et al, 2021",Quantifying upper limb tremor in people with multiple sclerosis using Fast Fourier Transform based analysis of wrist accelerometer signals,10.1177/2055668320966955,5 (60.0),57.6 (15.3),SP: n=5,not reported,13.5 (3.1),not reported,not reported,"healthy 
n=10 (50% female)
age: 42.4 (10.9)","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,accelerometer,3
"Hsieh K.L., Sosnoff J.J.",2021,"Hsieh et al, 2021",Smartphone accelerometry to assess postural control in individuals with multiple sclerosis,10.1016/J.GAITPOST.2020.11.011,12 (75.0),62.1 (8.1),"RR: n=7,
PP: n=1, 
SP: n=4",EDSS: 6 [5.3− 6.4],18.6 (10.1),not reported,not reported,"MS patients (non-assisted device users)
n=15 (87% female)
age: 46.5 (12.2)
Type: RR: n=14, not reported: n=1
Severity: EDSS: 2.5 [2.5− 3.5]
Disease duration [yrs]: 12.9 (11.6)","Samsumg Galaxy S6 smartphone
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: sternum",lab setting (controlled),not reported,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Creagh A.P., Simillion C., Bourke A.K., Scotland A., Lipsmeier F., Bernasconi C., Van Beek J., Baker M., Gossens C., Lindemann M., De Vos M.",2021,"Creagh et al, 2021",Smartphone-and Smartwatch-Based Remote Characterisation of Ambulation in Multiple Sclerosis during the Two-Minute Walk Test,10.1109/JBHI.2020.2998187,73 (68.5),"MS severity:
moderate: 40.5 (6.9),
mild: 39.3 (8.3)",not reported,"EDSS:
moderate: 4.2 (0.7), 
mild: 1.7 (0.8)",not reported,not reported,not reported,"healthy 
n=24 (75% female)
age: 35.6 (8.9)","Samsumg Galaxy S7 smartphone
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",real-life setting,24 weeks,yes,applies partially,yes,applies partially,yes,yes,yes,yes,yes,"accelerometer, gyroscope",3
"Jeng B., Sasaki J.E., Cederberg K.L., Motl R.W.",2021,"Jeng et al, 2021",Sociodemographic and clinical correlates of device-measured sedentary behaviour in multiple sclerosis,10.1080/09638288.2019.1614683,233 (80.7),59.1 (9.8),"RR: n=171,
P: n =62",PDDS: 3 [1-5],19.8 (9.7),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Cheng W.-Y., Bourke A.K., Lipsmeier F., Bernasconi C., Belachew S., Gossens C., Graves J.S., Montalban X., Lindemann M.",2021,"Cheng et al, 2021",U-turn speed is a valid and reliable smartphone-based measure of multiple sclerosis-related gait and balance impairment,10.1016/J.GAITPOST.2020.11.025,76 (69.7),39.5 (7.9),"RR: n=69,
PP: n=3,
SP: n=4",EDSS: 2.4 (1.4),11.3 (7.0),not reported,not reported,"healthy 
n=25 (28% female)
age: 34.9 (9.3)","Samsumg Galaxy S7 smartphone
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",real-life setting,24 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Massimiliano Pau, Micaela Porta, Giancarlo Coghe, Eleonora Cocco",2021,"Pau et al, 2021",What gait features influence the amount and intensity of physical activity in people with multiple sclerosis?,10.1097/MD.0000000000024931,31 (54.8),52.5 (11.3),RR: n=31,"EDSS: 3.1 (1.7), range: 1.0-6.0",not reported,inclusion criteria: on treatment with disease modifying agents at least for 6 months,inclusion criteria: free from other associated medical conditions able to severely influence gait and balance,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",both,7 days,yes,yes,yes,yes,yes,applies partially,applies partially,no,yes,accelerometer,3
