Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
J. Gong,2016,"Gong et al, 2016",Causality Analysis of Inertial Body Sensors for Multiple Sclerosis Diagnostic Enhancement,10.1109/JBHI.2016.2589902,28,21,40.5 (9.4),40.5,not reported: n=28,EDSS: 2.0 [0-4.0],6.7 (5.9),not reported,not reported,healthy,"healthy
n=13 (53% female)
age: 39.3 (10.3)","TEMPO Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Position: lower back, wrist, ankle",laboratory,time to walk 6M,,applies partially,no,yes,applies partially,yes,yes,yes,no,yes,Lab: Physical activity,,,,no,,no,,yes,significant,yes,significant,no,,no,,no,,no,,no,,
"Pau M., Caggiari S., Mura A., Corona F., Leban B., Coghe G., Lorefice L., Marrosu M.G., Cocco E.",2016,"Pau et al, 2016",Clinical assessment of gait in individuals with multiple sclerosis using wearable inertial sensors: Comparison with patient-based measure,10.1016/J.MSARD.2016.10.007,105,74,"severity:
MS class 1 [EDSS=0-1.5]: 39.6 (8.3), 
MS class 2 [EDSS=2.0-4.0]: 43.6 (9.3), 
MS class 3 [EDSS=4.5-6.0]: 52.1 (10.2)",43.2,not reported: n=105,"EDSS:
MS class 1: 1.0 (0.2),
MS class 2: 2.6 (0.6),
MS class 3: 4.6 (1.1)",not reported,not reported,absence of other conditions that affect gait,healthy,"healthy
n=47 (45% female)
age: 39.4 (12.7)","G-Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,not reported,,applies partially,yes,yes,applies partially,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,yes,significant,yes,significant,yes,significant,yes,significant,no,,no,,no,,no,,no,,
S. Dandu,2016,"Dandu et al, 2016",Determining physiological significance of inertial gait features in multiple sclerosis,10.1109/BSN.2016.7516271,86,not reported,range: 19-61,NA,not reported: n=86,EDSS: range: 0-7,not reported,not reported,not reported,healthy,"healthy
n=29 (female ratio not reported)
age: range: 19-54","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",laboratory,6 minutes,,yes,no,applies partially,applies partially,yes,yes,yes,no,no,Lab: Physical activity,,,,yes,significant,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Stellmann J.-P., Jlussi M., Neuhaus A., Lederer C., Daumer M., Heesen C.",2016,"Stellmann et al, 2016",Fampridine and real-life walking in multiple sclerosis: Low predictive value of clinical test for habitual short-term changes,10.1016/J.JNS.2016.07.051,28,17,49 (8.6),49,"RR: n=3,
PP: n=7,
SP: n=18",EDSS: 4.75 [4-6.5],11.0 (8.4),not reported,not reported,none,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,28 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,no,,no,,no,,no,,no,,no,,yes,significant,no,,
"Brodie M.A.D., Psarakis M., Hoang P.",2016,"Brodie et al, 2016",Gyroscopic corrections improve wearable sensor data prior to measuring dynamic sway in the gait of people with Multiple Sclerosis,10.1080/10255842.2016.1140747,5,5,56 (8),56,not reported: n=5,EDSS: 4.3 (1.0),not reported,not reported,not reported,healthy,"healthy
n=5 (100% female)
age: 56 (8)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,not reported,,yes,no,yes,applies partially,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,no,,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Klaren R.E., Sebastiao E., Chiu C.-Y., Kinnett-Hopkins D., McAuley E., Motl R.W.",2016,"Klaren et al, 2016",Levels and rates of physical activity in older adults with multiple sclerosis,10.14336/AD.2015.1025,963,809,"age:
Young: 33.1 (4.7),
Middle-aged: 49.6 (5.4),
Older: 63.0 (3.6) ",47.8,"RR: n=885,
not reported: n=78","EDSS:
Young: 1.0 [3.0]
Middle-aged: 2.0 [2.0]
Older: 3.0 [3.0]","Young: 6.3 (5.0)
Middle-aged: 10.8 (7.2)
Older: 16.5 (9.2) ",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Grover S.A., Sawicki C.P., Kinnett-Hopkins D., Finlayson M., Schneiderman J.E., Banwell B., Till C., Motl R.W., Yeh E.A.",2016,"Grover et al, 2016",Physical Activity and Its Correlates in Youth with Multiple Sclerosis,10.1016/J.JPEDS.2016.08.104,27,18,16.0 (4.0),16,not reported: n=27,EDSS: 1.5 [0.5],2.0 (2.0),exclusion criteria: steroid treatment in the past 30 days,not reported,healthy,"mixed
healthy: n=37 (68% female), age: 15.0 (3.0);
monophasic acquired demyelinating syndromes: n=41 (46%), age: 14.0 (4.0), severity: EDSS: 1.0 [2.0], disease duration: 4.0 (7.0)","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,yes,significant,no,,yes,significant,no,,no,,no,,no,,
"Kinnett-Hopkins D., Grover S.A., Yeh E.A., Motl R.W.",2016,"Kinnett-Hopkins et al, 2016",Physical activity in pediatric onset multiple sclerosis: Validating a questionnaire for clinical practice and research,10.1016/J.MSARD.2016.08.010,27,18,15.73 (3.2),15.73,not reported: n=27,EDSS: 1.5 (0.5),2.03 (2),not reported,not reported,healthy,"healthy
n=45 (67% female)
age: 14.76 (3.8)","ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Zörner B., Filli L., Reuter K., Kapitza S., Lörincz L., Sutter T., Weller D., Farkas M., Easthope C.S., Czaplinski A., Weller M., Linnebank M.",2016,"Zoerner et al, 2016",Prolonged-release fampridine in multiple sclerosis: Improved ambulation effected by changes in walking pattern,10.1177/1352458515622695,55,34,48.6 (9.8),48.6,"RR: n=29,
PP: n=5, 
SP: n=21","EDSS: 4.9 (1.3), range: 2.5-6.5",11.9 (7.4),"Natalizumab: n=21,
INF: n=34, 
GA: n=2,
Fingolimod: n=2",not reported,none,none,"Actiwatch 2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: ankle",real-world,4 weeks,NCT01576354,yes,yes,yes,yes,yes,yes,yes,no,no,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,no,,yes,some significant,no,,
M. Engelhard,2016,"Engelhard et al, 2016",Quantifying six-minute walk induced gait deterioration with inertial sensors in multiple sclerosis subjects,10.1016/J.GAITPOST.2016.07.184,89,73,"46 [38-52], range: 19-61",46,not reported: n=89,"EDSS: 2.5 [2-3.5], range: 0-7",not reported,not reported,not reported,healthy,"healthy
n=29 (69% female)
age: 40 (19-54)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",laboratory,1 day,,yes,applies partially,yes,yes,yes,yes,yes,no,no,Lab: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Klaren R.E., Hubbard E.A., Zhu W., Motl R.W.",2016,"Klaren et al, 2016",Reliability of Accelerometer Scores for Measuring Sedentary and Physical Activity Behaviors in Persons With Multiple Sclerosis,10.1123/APAQ.2015-0007,422,359,47.3 (10),47.3,"RR: n=380;
not reported: n=42",PDDS: 2.0 [4.0],9.6 (7.4),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,no,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,significant,no,,no,,no,,
"Lorefice L., Coghe G., Fenu G., Porta M., Pilloni G., Frau J., Corona F., Sechi V., Barracciu M.A., Marrosu M.G., Pau M., Cocco E.",2017,"Lorefice et al, 2017",‘Timed up and go’ and brain atrophy: a preliminary MRI study to assess functional mobility performance in multiple sclerosis,10.1007/S00415-017-8612-Y,60,41,41.5 (11.6),41.5,"PP: n=4,
not reported: n=56 ",EDSS: 2.3 (1.2),11.6 (7.5),not reported,not reported,none,none,"G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,1 day,,yes,yes,yes,yes,applies partially,yes,yes,no,no,Lab: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"McGinnis R.S., Mahadevan N., Moon Y., Seagers K., Sheth N., Wright J.A., DiCristofaro S., Silva I., Jortberg E., Ceruolo M., Pindado J.A., Sosnoff J., Ghaffari R., Patel S.",2017,"McGinnis et al, 2017",A machine learning approach for gait speed estimation using skin-mounted wearable sensors: From healthy controls to individuals with multiple sclerosis,10.1371/JOURNAL.PONE.0178366,30,21,range: 29-74,NA,not reported: n=30,EDSS: range: 0-7,not reported,not reported,not reported,healthy,"healthy
n=7 (43% female)
age: range: 37-71","BioSTampRC Sensors
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 5
Position: lower back, upper leg, lower leg",laboratory,1 day,,yes,yes,yes,applies partially,yes,yes,yes,no,yes,Lab: Physical activity,,,,no,,yes,some significant,no,,yes,non-significant,no,,no,,no,,no,,no,,
"Pau M., Porta M., Coghe G., Corona F., Pilloni G., Lorefice L., Marrosu M.G., Cocco E.",2017,"Pau et al, 2017",Are static and functional balance abilities related in individuals with Multiple Sclerosis?,10.1016/J.MSARD.2017.04.002,106,73,"severity:
EDSS 0-1.5: 39.8 (8.2), 
EDSS 2-3.5 43.5 (9.5), 
EDSS 4-6.5 48.6 (10.1)",42.3,"RR: n=99,
PP: n=1, 
SP: n=6","EDSS 0-1.5: 1.0 (0.2),
EDSS 2-3.5: 2.6 (0.6),
EDSS 4-6.5: 5.2 (1.1)",not reported,not reported,not reported,healthy,"healthy
n=42 (28% female)
age: 39.6 (13.5)","G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,1 day,,yes,yes,yes,yes,no,yes,yes,no,yes,Lab: Balance,,,,yes,non-significant,no,,yes,significant,no,,no,,no,,no,,no,,no,,
A. Qureshi,2017,"Qureshi et al, 2017",Demonstrating the real-world significance of the mid-swing to heel strike part of the gait cycle using spectral features,10.1109/BSN.2017.7936025,65,not reported,range: 18-64,NA,not reported: n=65,not reported,not reported,not reported,not reported,none,none,"Sensor Nodes
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: ankle",laboratory,1 day,,no,no,no,no,no,yes,applies partially,no,no,Lab: Gait,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Craig J.J., Bruetsch A.P., Lynch S.G., Horak F.B., Huisinga J.M.",2017,"Craig et al, 2017",Instrumented balance and walking assessments in persons with multiple sclerosis show strong test-retest reliability,10.1186/S12984-017-0251-0,15,12,48.2 (8.7),48.2,RR: n=15,EDSS: 1.89 (0.98),12.2 (5.9),not reported,not reported,healthy,"healthy
n=15 (80% female)
age: 47.8 (9.5)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, ankle",laboratory,2 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,no,,no,,no,,yes,some significant,no,,no,,no,,
"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebastião et al, 2017",Lower Physical Activity in Persons with Multiple Sclerosis at Increased Fall Risk: A Cross-sectional Study,10.1097/PHM.0000000000000581,47,not reported,53.1 (11.4),53.1,"RR: n=44,
PP: n=1, 
SP: n=2",EDSS: 4 [3.0],13.1 (9.6),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Norris M., Anderson R., Motl R.W., Hayes S., Coote S.",2017,"Norris et al, 2017","Minimum number of days required for a reliable estimate of daily step count and energy expenditure, in people with MS who walk unaided",10.1016/J.GAITPOST.2017.02.005,26,not reported,44.5 (11.9),44.5,"RR: n=21, 
PP: n=2, 
SP: n=1, 
benign: n=2,
not reported: n=1",inclusion criteria: PDDS <=3,6.5 (6.2),not reported,not reported,none,none,"SenseWear Armband
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: wrist",real-world,7 days,,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,significance not tested,no,,no,,no,,
"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebastião et al, 2017",Mobility measures differentiate falls risk status in persons with multiple sclerosis: An exploratory study,10.3233/NRE-161401,21,19,55.5 (9.1),55.5,"RR: n=18,
not reported: n=3",EDSS: 6.0 [2.0],14.7 (10.5),not reported,not reported,MS patients,"MS patients (normal fall risk)
n=26 (88% female)
age: 51.2 (12.9)
Type: RR: n=26
Severity: EDSS: 3.0 [1.5]
Disease duration: 13.5 (1.5)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Teufl, S; Preston, J; van Wijck, F; Stansfield, B",2017,"Teufl et al, 2017",Objective identification of upper limb tremor in multiple sclerosis using a wrist-worn motion sensor: Establishing validity and reliability,10.1177/0308022617726259,12,7,51.5 (14.1),51.5,"RR: n=7, 
SP: n=5",not reported,13.9 (9.1),not reported,not reported,none,none,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",laboratory,not reported,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,Lab: Dexterity/Tremor,,,,no,,yes,significant,no,,yes,significance not tested,no,,no,,yes,significance not tested,no,,no,,
"Klaren R.E., Hubbard E.A., Wetter N.C., Sutton B.P., Motl R.W.",2017,"Klaren et al, 2017",Objectively measured sedentary behavior and brain volumetric measurements in multiple sclerosis,10.2217/NMT-2016-0036,36,29,49.1 (9.1),49.1,"RR: n=28,
not reported: n=8",EDSS: 4.5 [2.5],10.1 (8.6),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,applies partially,no,yes,RW: Physical activity,,,,no,,yes,non-significant,no,,no,,no,,no,,no,,no,,no,,
"Klaren R.E., Sasaki J.E., McAuley E., Motl R.W.",2017,"Klaren et al, 2017",Patterns and Predictors of Change in Moderate-to-Vigorous Physical Activity Over Time in Multiple Sclerosis,10.1123/JPAH.2016-0335,269,223,45.9 (9.8),45.9,RR: n=269,PDDS: 2.0 [3.0],8.8 (7.1),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significance not tested,no,,no,,yes,significance not tested,no,,no,,
"Motl R.W., Sandroff B.M., Pilutti L.A., Klaren R.E., Baynard T., Fernhall B.",2017,"Motl et al, 2017","Physical activity, sedentary behavior, and aerobic capacity in persons with multiple sclerosis",10.1016/J.JNS.2016.11.070,49,42,50.1 (8.3),50.1,not reported: n=49,"EDSS: 4.75 [2.0], 
PDDS: 4.0 [2.0]",not reported,not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,applies partially,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Dalla-Costa G., Radaelli M., Maida S., Sangalli F., Colombo B., Moiola L., Comi G., Martinelli V.",2017,"Dalla-Costa et al, 2017","Smart watch, smarter EDSS: Improving disability assessment in multiple sclerosis clinical practice",10.1016/J.JNS.2017.10.043,73,37,47.6 (7.9),47.6,"RR: n=53, 
P: n=20",not reported,14.4 (7.3),"subjects with first line disease-modifying treatment: n=61,
subjects with first line disease-modifying treatment: n=12",not reported,none,none,"Garmin Forerunner 230
Type of sensor: others (GPS)
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,4 weeks,,yes,applies partially,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Pau M., Mandaresu S., Pilloni G., Porta M., Coghe G., Marrosu M.G., Cocco E.",2017,"Pau et al, 2017",Smoothness of gait detects early alterations of walking in persons with multiple sclerosis without disability,10.1016/J.GAITPOST.2017.08.023,50,21,39.4 (12.8),39.4,not reported: n=50,EDSS: 1.0 (mean),not reported,not reported,absence of any other condition able to affect gait or balance,healthy,"healthy
n=50 (42% female)
age: 39.4 (12.8)","G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper back",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,yes,no,applies partially,Lab: Gait,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Krüger T., Behrens J.R., Grobelny A., Otte K., Mansow-Model S., Kayser B., Bellmann-Strobl J., Brandt A.U., Paul F., Schmitz-Hübsch T.",2017,"Krueger et al, 2017",Subjective and objective assessment of physical activity in multiple sclerosis and their relation to health-related quality of life,10.1186/S12883-016-0783-0,26,18,50.9 (5.2),50.9,"RR: n=18,
PP: n=1, 
SP: n=7","EDSS: 4.0 (median), range: 1.5-6.0",not reported,not reported,not reported,healthy,"healthy
n=30 (67% female)
age: 49.7 (8.3)","SenseWear Model mini
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: upper arm",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,applies partially,no,applies partially,RW: Physical activity,,,,yes,some significant,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Aburub A., Khalil H., Al-Sharman A., Alomari M., Khabour O.",2017,"Aburub et al, 2017",The association between physical activity and sleep characteristics in people with multiple sclerosis,10.1016/J.MSARD.2016.12.010,60,not reported,35.62 (9.14),35.62,RR: n=60,"EDSS: 2.47 (1.63), range: 0-5",7.29 (4.37),not reported,not reported,none,none,"ActiGraph Actisleep
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,applies partially,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Craig J.J., Bruetsch A.P., Lynch S.G., Huisinga J.M.",2017,"Craig et al, 2017",The relationship between trunk and foot acceleration variability during walking shows minor changes in persons with multiple sclerosis,10.1016/J.CLINBIOMECH.2017.07.011,40,not reported,40 (9),40,RR: n=40,EDSS: 1.63 (0.7),not reported,not reported,not reported,healthy,"healthy
n=40 (female ratio not reported)
age: 44 (10)","APDM Opal IMU
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: sternum, ankle",laboratory,3 minutes,,yes,yes,applies partially,yes,yes,applies partially,applies partially,no,yes,Lab: Gait,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
